Sex,Age,Height,Weight,NOC,Category
1,22.0,179.0,75.0,124,racket_net_sports - badminton
0,23.0,158.0,58.0,40,team_sports - ice_hockey
0,20.0,161.0,52.0,210,artistic_aesthetic_judged - figure_skating
1,19.0,184.0,72.0,25,watercraft_racing - sailing
1,31.0,197.0,102.0,53,team_sports - handball
0,24.0,172.0,57.0,35,endurance_stamina - biathlon
1,19.0,164.0,54.0,8,boxing - lighter_classes_speed
1,25.0,168.0,56.0,66,boxing - lighter_classes_speed
1,27.0,177.0,83.0,98,weightlifting - middle_classes
1,23.0,178.0,72.0,159,team_sports - football
1,28.0,185.0,81.0,177,boxing - heavy_classes_power
1,31.0,176.0,75.0,13,endurance_stamina - cross_country_skiing
1,21.0,182.0,78.0,210,endurance_stamina - road_cycling
1,27.0,165.0,64.0,61,team_sports - hockey
1,19.0,170.0,65.0,128,artistic_aesthetic_judged - diving
0,16.0,144.0,36.0,161,artistic_aesthetic_judged - gymnastics
1,23.0,183.0,89.0,79,sprint_classes - cycling
1,27.0,193.0,69.0,35,watercraft_racing - rowing
1,23.0,199.0,98.0,12,watercraft_racing - rowing
0,24.0,174.0,68.0,212,team_sports - handball
1,26.0,175.0,70.0,187,watercraft_racing - sailing
1,31.0,191.0,95.0,119,watercraft_racing - canoeing_kayaking
1,24.0,187.0,87.0,72,athletics_technical - hurdles_steeplechase
1,21.0,184.0,79.0,98,athletics_technical - jumps_and_vault
1,29.0,182.0,92.0,66,team_sports - ice_hockey
0,23.0,157.0,52.0,175,watercraft_racing - sailing
1,23.0,182.0,79.0,52,team_sports - football
1,25.0,195.0,95.0,68,Uncategorized
1,31.0,175.0,62.0,72,watercraft_racing - sailing
0,19.0,162.0,57.0,72,artistic_aesthetic_judged - rhythmic_gymnastics
1,23.0,179.0,84.0,8,watercraft_racing - canoeing_kayaking
1,22.0,185.0,86.0,212,athletics_technical - jumps_and_vault
1,29.0,174.0,74.0,204,wrestling - middle_classes_mixed
1,21.0,163.0,56.0,74,artistic_aesthetic_judged - gymnastics
